topic,description,source,url,text
Specialized treatment services for drug use disoders and HIV/AIDS,WHO Global Health Observatory - Specialized treatment services for drug use disoders and HIV/AIDS,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/RSUD_41,[WHO-GHO] Specialized treatment services for drug use disoders and HIV/AIDS: WHO Global Health Observatory - Specialized treatment services for drug use disoders and HIV/AIDS
Tuberculosis detection and treatment,WHO Global Health Observatory - Tuberculosis detection and treatment,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/UHC_TB_DT,[WHO-GHO] Tuberculosis detection and treatment: WHO Global Health Observatory - Tuberculosis detection and treatment
"HIV, Hepatitis counselling and treatment availability in specialized facilities and services","WHO Global Health Observatory - HIV, Hepatitis counselling and treatment availability in specialized facilities and services",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/RSUD_620,"[WHO-GHO] HIV, Hepatitis counselling and treatment availability in specialized facilities and services: WHO Global Health Observatory - HIV, Hepatitis counselling and treatment availability in specialized facilities and services"
Children aged <5 years with diarrhoea receiving ORS (%),WHO Global Health Observatory - Children aged <5 years with diarrhoea receiving ORS (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/UNICEF_ORS,[WHO-GHO] Children aged <5 years with diarrhoea receiving ORS (%): WHO Global Health Observatory - Children aged <5 years with diarrhoea receiving ORS (%)
Deaths due to HIV/AIDS (per 100 000 population),WHO Global Health Observatory - Deaths due to HIV/AIDS (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS2_138,[WHO-GHO] Deaths due to HIV/AIDS (per 100 000 population): WHO Global Health Observatory - Deaths due to HIV/AIDS (per 100 000 population)
Distribution of causes of death among children aged <5 years (%) - Diarrhoea,WHO Global Health Observatory - Distribution of causes of death among children aged <5 years (%) - Diarrhoea,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS2_167,[WHO-GHO] Distribution of causes of death among children aged <5 years (%) - Diarrhoea: WHO Global Health Observatory - Distribution of causes of death among children aged <5 years (%) - Diarrhoea
Distribution of causes of death among children aged <5 years (%) - Measles,WHO Global Health Observatory - Distribution of causes of death among children aged <5 years (%) - Measles,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS2_168,[WHO-GHO] Distribution of causes of death among children aged <5 years (%) - Measles: WHO Global Health Observatory - Distribution of causes of death among children aged <5 years (%) - Measles
Cholera - number of reported cases,WHO Global Health Observatory - Cholera - number of reported cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS3_40,[WHO-GHO] Cholera - number of reported cases: WHO Global Health Observatory - Cholera - number of reported cases
Total tetanus - number of reported cases,WHO Global Health Observatory - Total tetanus - number of reported cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS3_46,[WHO-GHO] Total tetanus - number of reported cases: WHO Global Health Observatory - Total tetanus - number of reported cases
Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),WHO Global Health Observatory - Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS4_100,[WHO-GHO] Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%): WHO Global Health Observatory - Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)
Age-standardized mortality rate by cause (per 100 000 population) - Cardiovascular,WHO Global Health Observatory - Age-standardized mortality rate by cause (per 100 000 population) - Cardiovascular,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS2_161,[WHO-GHO] Age-standardized mortality rate by cause (per 100 000 population) - Cardiovascular: WHO Global Health Observatory - Age-standardized mortality rate by cause (per 100 000 population) - Cardiovascular
Meningitis - number of reported cases,WHO Global Health Observatory - Meningitis - number of reported cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS3_47,[WHO-GHO] Meningitis - number of reported cases: WHO Global Health Observatory - Meningitis - number of reported cases
H5N1 influenza - number of reported cases,WHO Global Health Observatory - H5N1 influenza - number of reported cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS3_51,[WHO-GHO] H5N1 influenza - number of reported cases: WHO Global Health Observatory - H5N1 influenza - number of reported cases
Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),WHO Global Health Observatory - Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS4_117,[WHO-GHO] Hepatitis B (HepB3) immunization coverage among 1-year-olds (%): WHO Global Health Observatory - Hepatitis B (HepB3) immunization coverage among 1-year-olds (%)
Number of new leprosy cases,WHO Global Health Observatory - Number of new leprosy cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS3_45,[WHO-GHO] Number of new leprosy cases: WHO Global Health Observatory - Number of new leprosy cases
Antiretroviral therapy coverage among HIV-infected pregnant women for PMTCT (%),WHO Global Health Observatory - Antiretroviral therapy coverage among HIV-infected pregnant women for PMTCT (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS4_99,[WHO-GHO] Antiretroviral therapy coverage among HIV-infected pregnant women for PMTCT (%): WHO Global Health Observatory - Antiretroviral therapy coverage among HIV-infected pregnant women for PMTCT (%)
Number of reported cases of tuberculosis,WHO Global Health Observatory - Number of reported cases of tuberculosis,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS3_522,[WHO-GHO] Number of reported cases of tuberculosis: WHO Global Health Observatory - Number of reported cases of tuberculosis
Children aged <5 years with diarrhoea receiving ORT (%),WHO Global Health Observatory - Children aged <5 years with diarrhoea receiving ORT (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS4_107,[WHO-GHO] Children aged <5 years with diarrhoea receiving ORT (%): WHO Global Health Observatory - Children aged <5 years with diarrhoea receiving ORT (%)
Deaths due to malaria (per 100 000 population),WHO Global Health Observatory - Deaths due to malaria (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS2_152,[WHO-GHO] Deaths due to malaria (per 100 000 population): WHO Global Health Observatory - Deaths due to malaria (per 100 000 population)
"Alcohol-attributable fractions (15+), cancer deaths","WHO Global Health Observatory - Alcohol-attributable fractions (15+), cancer deaths",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001808,"[WHO-GHO] Alcohol-attributable fractions (15+), cancer deaths: WHO Global Health Observatory - Alcohol-attributable fractions (15+), cancer deaths"
Age-standardized mortality rate by cause (per 100 000 population) - Cancer,WHO Global Health Observatory - Age-standardized mortality rate by cause (per 100 000 population) - Cancer,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS2_160,[WHO-GHO] Age-standardized mortality rate by cause (per 100 000 population) - Cancer: WHO Global Health Observatory - Age-standardized mortality rate by cause (per 100 000 population) - Cancer
Distribution of causes of death among children aged <5 years (%) - Malaria,WHO Global Health Observatory - Distribution of causes of death among children aged <5 years (%) - Malaria,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS2_164,[WHO-GHO] Distribution of causes of death among children aged <5 years (%) - Malaria: WHO Global Health Observatory - Distribution of causes of death among children aged <5 years (%) - Malaria
Distribution of causes of death among children aged <5 years (%) - Pneumonia,WHO Global Health Observatory - Distribution of causes of death among children aged <5 years (%) - Pneumonia,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS2_165,[WHO-GHO] Distribution of causes of death among children aged <5 years (%) - Pneumonia: WHO Global Health Observatory - Distribution of causes of death among children aged <5 years (%) - Pneumonia
Number of diarrhoea deaths from inadequate hygiene,WHO Global Health Observatory - Number of diarrhoea deaths from inadequate hygiene,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_10_HYG,[WHO-GHO] Number of diarrhoea deaths from inadequate hygiene: WHO Global Health Observatory - Number of diarrhoea deaths from inadequate hygiene
Number of diarrhoea deaths from inadequate sanitation,WHO Global Health Observatory - Number of diarrhoea deaths from inadequate sanitation,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_10_SAN,[WHO-GHO] Number of diarrhoea deaths from inadequate sanitation: WHO Global Health Observatory - Number of diarrhoea deaths from inadequate sanitation
Number of diarrhoea deaths from inadequate water,WHO Global Health Observatory - Number of diarrhoea deaths from inadequate water,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_10_WAT,[WHO-GHO] Number of diarrhoea deaths from inadequate water: WHO Global Health Observatory - Number of diarrhoea deaths from inadequate water
Attributable fraction of diarrhoea to inadequate sanitation,WHO Global Health Observatory - Attributable fraction of diarrhoea to inadequate sanitation,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_20_SAN,[WHO-GHO] Attributable fraction of diarrhoea to inadequate sanitation: WHO Global Health Observatory - Attributable fraction of diarrhoea to inadequate sanitation
Number of diarrhoea DALYs from inadequate hygiene,WHO Global Health Observatory - Number of diarrhoea DALYs from inadequate hygiene,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_30_HYG,[WHO-GHO] Number of diarrhoea DALYs from inadequate hygiene: WHO Global Health Observatory - Number of diarrhoea DALYs from inadequate hygiene
"Cancer, age-standardized death rates (15+), per 100,000 population","WHO Global Health Observatory - Cancer, age-standardized death rates (15+), per 100,000 population",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001807,"[WHO-GHO] Cancer, age-standardized death rates (15+), per 100,000 population: WHO Global Health Observatory - Cancer, age-standardized death rates (15+), per 100,000 population"
Distribution of causes of death among children aged <5 years (%) - HIV/AIDS,WHO Global Health Observatory - Distribution of causes of death among children aged <5 years (%) - HIV/AIDS,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS2_170,[WHO-GHO] Distribution of causes of death among children aged <5 years (%) - HIV/AIDS: WHO Global Health Observatory - Distribution of causes of death among children aged <5 years (%) - HIV/AIDS
Malaria - number of reported confirmed cases,WHO Global Health Observatory - Malaria - number of reported confirmed cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS3_48,[WHO-GHO] Malaria - number of reported confirmed cases: WHO Global Health Observatory - Malaria - number of reported confirmed cases
Number of reported cases of tuberculosis (DOTS),WHO Global Health Observatory - Number of reported cases of tuberculosis (DOTS),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS3_54,[WHO-GHO] Number of reported cases of tuberculosis (DOTS): WHO Global Health Observatory - Number of reported cases of tuberculosis (DOTS)
Neonatal tetanus - number of reported cases,WHO Global Health Observatory - Neonatal tetanus - number of reported cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS3_56,[WHO-GHO] Neonatal tetanus - number of reported cases: WHO Global Health Observatory - Neonatal tetanus - number of reported cases
Measles - number of reported cases,WHO Global Health Observatory - Measles - number of reported cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS3_62,[WHO-GHO] Measles - number of reported cases: WHO Global Health Observatory - Measles - number of reported cases
Neonates protected at birth against neonatal tetanus (PAB) (%),WHO Global Health Observatory - Neonates protected at birth against neonatal tetanus (PAB) (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS4_128,[WHO-GHO] Neonates protected at birth against neonatal tetanus (PAB) (%): WHO Global Health Observatory - Neonates protected at birth against neonatal tetanus (PAB) (%)
"Regional prevalence, AAFs (15+), cancer","WHO Global Health Observatory - Regional prevalence, AAFs (15+), cancer",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001827,"[WHO-GHO] Regional prevalence, AAFs (15+), cancer: WHO Global Health Observatory - Regional prevalence, AAFs (15+), cancer"
New HIV infections among adults 15-24 years old (per 1000 uninfected population),WHO Global Health Observatory - New HIV infections among adults 15-24 years old (per 1000 uninfected population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SDGHIV1524,[WHO-GHO] New HIV infections among adults 15-24 years old (per 1000 uninfected population): WHO Global Health Observatory - New HIV infections among adults 15-24 years old (per 1000 uninfected population)
New HIV infections (per 1000 uninfected population),WHO Global Health Observatory - New HIV infections (per 1000 uninfected population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SDGHIV,[WHO-GHO] New HIV infections (per 1000 uninfected population): WHO Global Health Observatory - New HIV infections (per 1000 uninfected population)
Malaria incidence (per 1 000 population at risk),WHO Global Health Observatory - Malaria incidence (per 1 000 population at risk),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SDGMALARIA,[WHO-GHO] Malaria incidence (per 1 000 population at risk): WHO Global Health Observatory - Malaria incidence (per 1 000 population at risk)
Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),WHO Global Health Observatory - Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS8_110,[WHO-GHO] Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%): WHO Global Health Observatory - Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)
"Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene","WHO Global Health Observatory - Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_20,"[WHO-GHO] Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene: WHO Global Health Observatory - Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene"
Attributable fraction of diarrhoea to inadequate hygiene,WHO Global Health Observatory - Attributable fraction of diarrhoea to inadequate hygiene,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_20_HYG,[WHO-GHO] Attributable fraction of diarrhoea to inadequate hygiene: WHO Global Health Observatory - Attributable fraction of diarrhoea to inadequate hygiene
Attributable fraction of diarrhoea to inadequate water,WHO Global Health Observatory - Attributable fraction of diarrhoea to inadequate water,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_20_WAT,[WHO-GHO] Attributable fraction of diarrhoea to inadequate water: WHO Global Health Observatory - Attributable fraction of diarrhoea to inadequate water
"Number of diarrhoea DALYs from inadequate water, sanitation and hygiene","WHO Global Health Observatory - Number of diarrhoea DALYs from inadequate water, sanitation and hygiene",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_30,"[WHO-GHO] Number of diarrhoea DALYs from inadequate water, sanitation and hygiene: WHO Global Health Observatory - Number of diarrhoea DALYs from inadequate water, sanitation and hygiene"
Hepatitis B surface antigen (HBsAg) prevalence (%),WHO Global Health Observatory - Hepatitis B surface antigen (HBsAg) prevalence (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SDGHEPHBSAGPRV,[WHO-GHO] Hepatitis B surface antigen (HBsAg) prevalence (%): WHO Global Health Observatory - Hepatitis B surface antigen (HBsAg) prevalence (%)
Treatment success rate: HIV-positive TB cases,WHO Global Health Observatory - Treatment success rate: HIV-positive TB cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_c_tbhiv_tsr,[WHO-GHO] Treatment success rate: HIV-positive TB cases: WHO Global Health Observatory - Treatment success rate: HIV-positive TB cases
Number of incident tuberculosis cases in children aged 0 - 14,WHO Global Health Observatory - Number of incident tuberculosis cases in children aged 0 - 14,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_e_inc_num_014,[WHO-GHO] Number of incident tuberculosis cases in children aged 0 - 14: WHO Global Health Observatory - Number of incident tuberculosis cases in children aged 0 - 14
Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),WHO Global Health Observatory - Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_e_inc_tbhiv_100k,[WHO-GHO] Incidence of tuberculosis (per 100 000 population) (HIV-positive cases): WHO Global Health Observatory - Incidence of tuberculosis (per 100 000 population) (HIV-positive cases)
Number of prevalent tuberculosis cases,WHO Global Health Observatory - Number of prevalent tuberculosis cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_e_prev_num,[WHO-GHO] Number of prevalent tuberculosis cases: WHO Global Health Observatory - Number of prevalent tuberculosis cases
Tuberculosis - new and relapse cases,WHO Global Health Observatory - Tuberculosis - new and relapse cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_tot_newrel,[WHO-GHO] Tuberculosis - new and relapse cases: WHO Global Health Observatory - Tuberculosis - new and relapse cases
Tuberculosis effective treatment coverage (%),WHO Global Health Observatory - Tuberculosis effective treatment coverage (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_effective_treatment_coverage,[WHO-GHO] Tuberculosis effective treatment coverage (%): WHO Global Health Observatory - Tuberculosis effective treatment coverage (%)
TB patients with known HIV status (%),WHO Global Health Observatory - TB patients with known HIV status (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_hivtest_pct,[WHO-GHO] TB patients with known HIV status (%): WHO Global Health Observatory - TB patients with known HIV status (%)
Number of diarrhoea DALYs from inadequate sanitation,WHO Global Health Observatory - Number of diarrhoea DALYs from inadequate sanitation,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_30_SAN,[WHO-GHO] Number of diarrhoea DALYs from inadequate sanitation: WHO Global Health Observatory - Number of diarrhoea DALYs from inadequate sanitation
"Number of diarrhoea deaths from inadequate water, sanitation and hygiene","WHO Global Health Observatory - Number of diarrhoea deaths from inadequate water, sanitation and hygiene",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_10,"[WHO-GHO] Number of diarrhoea deaths from inadequate water, sanitation and hygiene: WHO Global Health Observatory - Number of diarrhoea deaths from inadequate water, sanitation and hygiene"
Number of diarrhoea DALYs from inadequate water,WHO Global Health Observatory - Number of diarrhoea DALYs from inadequate water,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WSH_30_WAT,[WHO-GHO] Number of diarrhoea DALYs from inadequate water: WHO Global Health Observatory - Number of diarrhoea DALYs from inadequate water
Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),WHO Global Health Observatory - Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_c_lab_sm_100k,[WHO-GHO] Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population): WHO Global Health Observatory - Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population)
"Number of incident tuberculosis cases,  (HIV-positive cases)","WHO Global Health Observatory - Number of incident tuberculosis cases,  (HIV-positive cases)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_e_inc_tbhiv_num,"[WHO-GHO] Number of incident tuberculosis cases,  (HIV-positive cases): WHO Global Health Observatory - Number of incident tuberculosis cases,  (HIV-positive cases)"
HIV-positive TB patients on ART (antiretroviral therapy) (%),WHO Global Health Observatory - HIV-positive TB patients on ART (antiretroviral therapy) (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_hiv_art_pct,[WHO-GHO] HIV-positive TB patients on ART (antiretroviral therapy) (%): WHO Global Health Observatory - HIV-positive TB patients on ART (antiretroviral therapy) (%)
HIV-positive TB patients on CPT (co-trimoxazole preventive therapy) (%),WHO Global Health Observatory - HIV-positive TB patients on CPT (co-trimoxazole preventive therapy) (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_hiv_cpt_pct,[WHO-GHO] HIV-positive TB patients on CPT (co-trimoxazole preventive therapy) (%): WHO Global Health Observatory - HIV-positive TB patients on CPT (co-trimoxazole preventive therapy) (%)
Tested TB patients HIV-positive (%),WHO Global Health Observatory - Tested TB patients HIV-positive (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_hivtest_pos_pct,[WHO-GHO] Tested TB patients HIV-positive (%): WHO Global Health Observatory - Tested TB patients HIV-positive (%)
Tuberculosis treatment coverage,WHO Global Health Observatory - Tuberculosis treatment coverage,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_1,[WHO-GHO] Tuberculosis treatment coverage: WHO Global Health Observatory - Tuberculosis treatment coverage
Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),WHO Global Health Observatory - Laboratories providing tuberculosis diagnostic services using culture (per 5 million population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_c_lab_cul_5m,[WHO-GHO] Laboratories providing tuberculosis diagnostic services using culture (per 5 million population): WHO Global Health Observatory - Laboratories providing tuberculosis diagnostic services using culture (per 5 million population)
Treatment success rate for new pulmonary smear-negative and extrapulmonary tuberculosis cases,WHO Global Health Observatory - Treatment success rate for new pulmonary smear-negative and extrapulmonary tuberculosis cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_c_new_snep_tsr,[WHO-GHO] Treatment success rate for new pulmonary smear-negative and extrapulmonary tuberculosis cases: WHO Global Health Observatory - Treatment success rate for new pulmonary smear-negative and extrapulmonary tuberculosis cases
Tuberculosis - new and relapse cases,WHO Global Health Observatory - Tuberculosis - new and relapse cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_c_newinc,[WHO-GHO] Tuberculosis - new and relapse cases: WHO Global Health Observatory - Tuberculosis - new and relapse cases
Number of incident tuberculosis cases,WHO Global Health Observatory - Number of incident tuberculosis cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_e_inc_num,[WHO-GHO] Number of incident tuberculosis cases: WHO Global Health Observatory - Number of incident tuberculosis cases
"Number of deaths due to tuberculosis, excluding HIV","WHO Global Health Observatory - Number of deaths due to tuberculosis, excluding HIV",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_e_mort_exc_tbhiv_num,"[WHO-GHO] Number of deaths due to tuberculosis, excluding HIV: WHO Global Health Observatory - Number of deaths due to tuberculosis, excluding HIV"
Number of national population surveys -  HIV prevalence,WHO Global Health Observatory - Number of national population surveys -  HIV prevalence,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/WHS10_6,[WHO-GHO] Number of national population surveys -  HIV prevalence: WHO Global Health Observatory - Number of national population surveys -  HIV prevalence
General availability of diabetes testing (by HbA1c) at the primary health care level,WHO Global Health Observatory - General availability of diabetes testing (by HbA1c) at the primary health care level,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_HbA1c,[WHO-GHO] General availability of diabetes testing (by HbA1c) at the primary health care level: WHO Global Health Observatory - General availability of diabetes testing (by HbA1c) at the primary health care level
Availability of cardiovascular risk stratification in 50% or more primary health care facilities,WHO Global Health Observatory - Availability of cardiovascular risk stratification in 50% or more primary health care facilities,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_riskstrat,[WHO-GHO] Availability of cardiovascular risk stratification in 50% or more primary health care facilities: WHO Global Health Observatory - Availability of cardiovascular risk stratification in 50% or more primary health care facilities
Provision for care of acute stroke and rehabilitation in more than 50% of public sector health facilities,WHO Global Health Observatory - Provision for care of acute stroke and rehabilitation in more than 50% of public sector health facilities,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_stroke,[WHO-GHO] Provision for care of acute stroke and rehabilitation in more than 50% of public sector health facilities: WHO Global Health Observatory - Provision for care of acute stroke and rehabilitation in more than 50% of public sector health facilities
In-prison cardiovascular disease diagnosis (number of diagnoses),WHO Global Health Observatory - In-prison cardiovascular disease diagnosis (number of diagnoses),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/PRISON_D4_CARDIOVASC_DIAG_TOT,[WHO-GHO] In-prison cardiovascular disease diagnosis (number of diagnoses): WHO Global Health Observatory - In-prison cardiovascular disease diagnosis (number of diagnoses)
Hepatitis B surface antigen (HBsAG) carriers (per 100 000 population),WHO Global Health Observatory - Hepatitis B surface antigen (HBsAG) carriers (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPB_HBSAG_CARRIER,[WHO-GHO] Hepatitis B surface antigen (HBsAG) carriers (per 100 000 population): WHO Global Health Observatory - Hepatitis B surface antigen (HBsAG) carriers (per 100 000 population)
"Chronic hepatitis C (HCV) diagnosis coverage as percentage of total HCV infected, including cured (%)","WHO Global Health Observatory - Chronic hepatitis C (HCV) diagnosis coverage as percentage of total HCV infected, including cured (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_DIAGNOSIS_PERINFECTED_CRD_PER100,"[WHO-GHO] Chronic hepatitis C (HCV) diagnosis coverage as percentage of total HCV infected, including cured (%): WHO Global Health Observatory - Chronic hepatitis C (HCV) diagnosis coverage as percentage of total HCV infected, including cured (%)"
"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease","WHO Global Health Observatory - Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCDMORT3070,"[WHO-GHO] Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease: WHO Global Health Observatory - Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease"
Number of imported malaria cases,WHO Global Health Observatory - Number of imported malaria cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_IMPORTED,[WHO-GHO] Number of imported malaria cases: WHO Global Health Observatory - Number of imported malaria cases
Estimated malaria incidence (per 1000 population at risk),WHO Global Health Observatory - Estimated malaria incidence (per 1000 population at risk),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_EST_INCIDENCE,[WHO-GHO] Estimated malaria incidence (per 1000 population at risk): WHO Global Health Observatory - Estimated malaria incidence (per 1000 population at risk)
In-prison Hepatitis B diagnosis (number of diagnoses),WHO Global Health Observatory - In-prison Hepatitis B diagnosis (number of diagnoses),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/PRISON_D4_HEPB_DIAG_TOT,[WHO-GHO] In-prison Hepatitis B diagnosis (number of diagnoses): WHO Global Health Observatory - In-prison Hepatitis B diagnosis (number of diagnoses)
Percentage of people living with HIV who know their HIV status,WHO Global Health Observatory - Percentage of people living with HIV who know their HIV status,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_STATUSKNOWNHIV,[WHO-GHO] Percentage of people living with HIV who know their HIV status: WHO Global Health Observatory - Percentage of people living with HIV who know their HIV status
People living with chronic hepatitis B (HBV) (number),WHO Global Health Observatory - People living with chronic hepatitis B (HBV) (number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HBV_LIVINGWITH_NUM,[WHO-GHO] People living with chronic hepatitis B (HBV) (number): WHO Global Health Observatory - People living with chronic hepatitis B (HBV) (number)
